Visit_Number,Primary_Description
236690254,REYNOLDS WRAP 2PK
236690254,WESSON VEGETABLE OIL
236690254,ZIPLOC FREEZER GAL
236690255,READING GLASSES/1.50
236690255,TAMPAX TAMPONS SUPER
236690257,MINI ECLAIRS
236690258,BIG BOOKS
236690258,CAFF FREE DIET COKE
236690258,DEPOSIT
236690258,DICED TOMATOES
236690258,GROVESTAND ORANGE
236690258,HAZELNUT DECAF 2 LB
236690259,55# CALCIUM CHLORIDE
236690260,GLAD TRASH BAG 13GAL
236690260,PETITE FILLOS ASST'D
236690261,ALKA-SELTZER PLUS
236690261,FALSE MEMORY
236690262,FOUR BEAN SALAD
236690262,FRUIT 2-0 WATER
236690262,JEWEL
236690262,MARINATED MUSHROOMS
236690262,NOBODY'S SAFE
236690262,POLAND SPRING
236690262,SLICED TURKEY BREAST
236690263,LADIES EMBROIDERED
236690263,SCENIC 5 PKS
236690266,FLEECE LINED PARKA
236690266,UNIVERSAL FILE TOTE
236690267,20OZ FROZEN BEVERAGE
236690267,SOFT DRINK 20 OZ.
236690268,ANGEL HAIR
236690268,AUTO DISH DETERGENT
236690268,CERTS COOL MINT DROP
236690268,CHOCOLATE LOVERS
236690268,GRANOLA BARS
236690268,KELLOGG'S POP-TARTS
236690268,LEMON LIME WIDEMOUTH
236690268,LINDSAY PITTED OLIVE
236690268,MEAT LASAGNA
236690268,VARIETY PACK
236690268,WORCESTRSHIRE SAUCE
236690269,ADV PRIMARY
236690269,FANCY CASHEWS
236690269,INSTANT POTATO FLAKE
236690269,MOUNDS
236690269,PEANUT BUTTER STICKS
236690269,PEPPERMINT PATTIES
236690270,SNUGGLE 200OZ
236690270,SURF ULTRA
236690271,100% WHOLE WHEAT
236690271,39 OZ. COFFEE
236690271,BREADED CHICKEN
236690271,BUTTER QUARTERS
236690271,COCKTAIL CROISSANT
236690271,D'ITALIANO BREAD
236690271,DICED TOMATOES
236690271,FRUIT PUNCH
236690271,LAY'S POTATO CHIPS
236690271,MOTOR OIL 10W40 12/1
236690271,PENNE RIGATE
236690271,PISTACHIO IN SHELL
236690271,SUNNY DELIGHT
236690273,CHICKEN ROASTERS
236690273,RUFFLES POTATO CHIPS
236690274,OAK DOUBLE BOOKCASE
236690275,9 OZ SWEATPANT
236690275,HANES 6PK SZ32 BRIEF
236690275,LADIES DENIM JEAN
236690275,LADIES EMBROIDERED
236690275,ONE-A-DAY
236690276,HOT DOG/CHIPS
236690277,55# CALCIUM CHLORIDE
236690277,BREADED CHICKEN
236690277,FALSE MEMORY
236690277,FRESH MARINARA
236690277,FUN PACK LUNCHABLE
236690277,GROUND BEEF
236690277,PROCESS AMERICAN
236690277,ROASTED GARLIC/HERB
236690278,OAK DOUBLE BOOKCASE
236690279,BOUNTY PAPER TOWELS
236690279,GLAD TRASH BAG 13GAL
236690279,KLEENEX 8PK 95 SHTS
236690279,Q-TIPS COTTON SWABS
236690280,BUFFALO TENDERS
236690281,CRUSTY FRENCH BREAD
236690281,DAWN DISH DETERGENT
236690281,HOAGIE ROLLS
236690283,BEEF LOIN
236690283,CHEX MIX
236690283,GAMEBOY POKEMON RED
236690283,RUFFLES POTATO CHIPS
236690283,TOSTITOS TORTILLA
236690284,SOFT DRINK 20 OZ.
236690285,P235/75R15 S2 WRNGGS
236690287,BREADED CHICKEN
236690287,DORITOS NACHO CHEESE
236690287,ITALIAN MEATBALLS
236690287,LARGE EGGS 3 DOZEN
236690287,MEXICAN BLEND CHEESE
236690287,MOZZARELLA STRING
236690287,PROVOLONE SLICED
236690287,STROEHMANN 22OZWHITE
236690287,TRASHBAG 55GAL BLACK
236690288,ADVANTAGE PRIMARY
236690289,55# CALCIUM CHLORIDE
236690289,ALL NATURAL
236690289,CASCADE GEL
236690289,CHEESE PIZZA
236690289,FRISKIES CAT FOOD
236690289,GO-GURT YOGURT
236690289,GRANOLA BARS
236690289,INTEGRITY PENCILS
236690289,NUTRIGRAIN BARS
236690289,POKEMON ROLL
236690289,PRINGLES VARIETY
236690289,SALTED PEANUTS
236690289,TRASHBAG 13GAL WHITE
236690289,ULTRA WISK
236690290,2001 T. KINCADE
236690290,225CX CASH REGISTER
236690290,2LTR 4PK DEPOSIT
236690290,BACON PRECOOKED
236690290,CHOPPED HAM
236690290,CINNAMON ROLLS
236690290,COKE-MIX & MATCH
236690290,DEPOSIT
236690290,DOVETAIL RIDGE
236690290,EXTRA FINE GRANULATD
